sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
168,0.31,0.19,0.19,0.20,0.02,0.17
169,0.30,0.19,0.19,0.20,0.03,0.19
170,0.30,0.19,0.19,0.20,0.02,0.19
171,0.30,0.18,0.19,0.20,0.02,0.19
172,0.31,0.19,0.19,0.20,0.03,0.19
173,0.30,0.19,0.19,0.21,0.03,0.18
174,0.30,0.19,0.19,0.20,0.03,0.18
175,0.31,0.19,0.19,0.20,0.02,0.19
176,0.33,0.22,0.18,0.21,0.02,0.19
177,0.32,0.21,0.19,0.20,0.02,0.19
178,0.30,0.18,0.19,0.19,0.03,0.19
179,0.29,0.18,0.19,0.19,0.02,0.18
180,0.30,0.17,0.19,0.18,0.02,0.18
181,0.30,0.18,0.18,0.18,0.03,0.18
182,0.29,0.16,0.19,0.18,0.02,0.18
183,0.30,0.17,0.18,0.19,0.02,0.17
184,0.31,0.18,0.18,0.18,0.03,0.17
185,0.31,0.17,0.19,0.18,0.03,0.18
186,0.30,0.18,0.19,0.17,0.02,0.18
187,0.31,0.18,0.18,0.18,0.03,0.17
188,0.31,0.19,0.18,0.18,0.02,0.18
189,0.32,0.18,0.18,0.17,0.02,0.17
190,0.32,0.18,0.18,0.18,0.02,0.18
191,0.31,0.18,0.19,0.18,0.02,0.19
192,0.32,0.18,0.18,0.17,0.02,0.18
193,0.31,0.18,0.18,0.18,0.02,0.18
194,0.31,0.18,0.18,0.17,0.02,0.18
195,0.30,0.18,0.18,0.18,0.02,0.17
196,0.30,0.16,0.19,0.17,0.03,0.17
197,0.30,0.17,0.18,0.18,0.03,0.17
198,0.30,0.17,0.19,0.18,0.02,0.18
199,0.30,0.16,0.18,0.16,0.02,0.18
200,0.29,0.17,0.19,0.17,0.02,0.17
201,0.29,0.16,0.18,0.17,0.02,0.18
202,0.30,0.16,0.18,0.17,0.03,0.18
203,0.29,0.17,0.18,0.17,0.03,0.17
204,0.29,0.17,0.18,0.18,0.02,0.17
205,0.30,0.17,0.18,0.17,0.03,0.17
206,0.29,0.17,0.18,0.17,0.02,0.18
207,0.29,0.17,0.18,0.17,0.03,0.18
208,0.30,0.17,0.18,0.18,0.02,0.17
209,0.30,0.17,0.18,0.18,0.02,0.17
210,0.30,0.18,0.18,0.18,0.03,0.18
211,0.30,0.18,0.18,0.17,0.02,0.17
212,0.30,0.18,0.18,0.18,0.03,0.16
213,0.30,0.17,0.18,0.18,0.02,0.17
214,0.31,0.18,0.18,0.17,0.03,0.18
215,0.30,0.17,0.18,0.17,0.03,0.19
216,0.30,0.17,0.18,0.17,0.03,0.17
217,0.30,0.17,0.19,0.17,0.01,0.19
218,0.30,0.17,0.18,0.17,0.03,0.18
219,0.29,0.17,0.18,0.17,0.02,0.18
220,0.30,0.16,0.18,0.17,0.03,0.17
221,0.30,0.17,0.18,0.17,0.02,0.16
222,0.30,0.17,0.17,0.17,0.03,0.17
223,0.30,0.17,0.18,0.17,0.03,0.17
224,0.30,0.17,0.18,0.17,0.02,0.17
225,0.29,0.16,0.18,0.17,0.02,0.17
226,0.29,0.16,0.18,0.18,0.02,0.17
227,0.30,0.17,0.18,0.17,0.02,0.17
228,0.30,0.17,0.18,0.17,0.02,0.17
229,0.30,0.17,0.19,0.17,0.03,0.18
230,0.30,0.17,0.18,0.18,0.03,0.17
231,0.30,0.17,0.18,0.17,0.02,0.17
232,0.30,0.17,0.18,0.17,0.02,0.17
233,0.29,0.16,0.18,0.17,0.01,0.17
234,0.30,0.17,0.19,0.17,0.03,0.18
235,0.30,0.17,0.18,0.16,0.03,0.17
236,0.30,0.17,0.18,0.17,0.02,0.17
237,0.30,0.16,0.18,0.16,0.03,0.16
238,0.30,0.17,0.18,0.16,0.02,0.17
239,0.30,0.17,0.18,0.18,0.03,0.17
240,0.30,0.17,0.18,0.17,0.02,0.17
241,0.30,0.17,0.18,0.17,0.03,0.18
242,0.30,0.17,0.18,0.17,0.02,0.17
243,0.30,0.17,0.18,0.17,0.02,0.17
244,0.30,0.16,0.17,0.17,0.02,0.17
245,0.30,0.17,0.18,0.17,0.02,0.18
246,0.30,0.17,0.18,0.17,0.03,0.18
247,0.30,0.17,0.18,0.17,0.03,0.17
248,0.29,0.17,0.18,0.16,0.03,0.17
249,0.30,0.16,0.18,0.16,0.03,0.17
250,0.30,0.17,0.17,0.17,0.02,0.17
251,0.30,0.17,0.18,0.17,0.03,0.17
252,0.30,0.17,0.18,0.17,0.02,0.16
253,0.30,0.17,0.18,0.17,0.02,0.17
254,0.30,0.17,0.18,0.17,0.02,0.17
255,0.30,0.17,0.18,0.17,0.02,0.17
256,0.30,0.17,0.18,0.17,0.03,0.17
257,0.30,0.17,0.18,0.18,0.03,0.16
258,0.30,0.17,0.17,0.17,0.02,0.17
259,0.30,0.17,0.18,0.17,0.03,0.17
260,0.30,0.17,0.19,0.18,0.02,0.18
261,0.31,0.17,0.17,0.18,0.02,0.17
262,0.30,0.18,0.18,0.17,0.02,0.17
263,0.30,0.17,0.18,0.17,0.03,0.17
264,0.30,0.17,0.18,0.17,0.02,0.17
265,0.31,0.17,0.18,0.17,0.03,0.17
266,0.30,0.17,0.18,0.17,0.02,0.17
267,0.30,0.17,0.18,0.17,0.02,0.17
268,0.29,0.17,0.17,0.16,0.02,0.17
269,0.30,0.16,0.18,0.17,0.03,0.17
270,0.30,0.17,0.18,0.17,0.03,0.18
271,0.29,0.17,0.18,0.17,0.02,0.17
272,0.29,0.16,0.19,0.17,0.02,0.17
273,0.27,0.15,0.18,0.16,0.03,0.17
274,0.28,0.15,0.18,0.17,0.02,0.17
275,0.27,0.14,0.18,0.17,0.02,0.17
276,0.27,0.14,0.18,0.16,0.03,0.17
277,0.27,0.14,0.18,0.16,0.02,0.17
278,0.26,0.14,0.18,0.16,0.02,0.17
279,0.27,0.14,0.18,0.16,0.02,0.17
280,0.27,0.14,0.19,0.16,0.02,0.16
281,0.27,0.13,0.18,0.16,0.02,0.16
282,0.26,0.14,0.17,0.16,0.02,0.16
283,0.26,0.13,0.18,0.16,0.02,0.17
284,0.26,0.12,0.18,0.16,0.02,0.17
285,0.26,0.13,0.18,0.16,0.03,0.16
286,0.25,0.13,0.18,0.16,0.01,0.16
287,0.26,0.13,0.17,0.16,0.02,0.16
288,0.26,0.12,0.17,0.15,0.02,0.17
289,0.25,0.13,0.18,0.17,0.03,0.17
290,0.25,0.13,0.18,0.15,0.02,0.16
291,0.25,0.12,0.18,0.16,0.02,0.16
292,0.25,0.12,0.18,0.14,0.02,0.17
293,0.25,0.13,0.18,0.16,0.02,0.16
294,0.25,0.12,0.17,0.15,0.03,0.16
295,0.25,0.12,0.18,0.15,0.02,0.16
296,0.25,0.13,0.17,0.15,0.02,0.16
297,0.24,0.12,0.18,0.16,0.03,0.16
298,0.25,0.12,0.17,0.15,0.02,0.16
299,0.25,0.13,0.17,0.15,0.03,0.16
300,0.24,0.12,0.17,0.16,0.02,0.17
301,0.25,0.13,0.18,0.16,0.02,0.16
302,0.25,0.12,0.18,0.15,0.02,0.16
303,0.24,0.12,0.17,0.16,0.03,0.17
304,0.25,0.13,0.17,0.15,0.03,0.16
305,0.25,0.12,0.17,0.15,0.03,0.16
306,0.24,0.12,0.17,0.15,0.02,0.16
307,0.25,0.11,0.17,0.15,0.02,0.17
308,0.24,0.12,0.17,0.15,0.04,0.16
309,0.25,0.12,0.18,0.15,0.02,0.16
310,0.24,0.12,0.18,0.14,0.02,0.16
311,0.24,0.12,0.17,0.16,0.02,0.16
312,0.24,0.12,0.17,0.15,0.03,0.16
313,0.24,0.12,0.17,0.15,0.02,0.16
314,0.24,0.12,0.17,0.14,0.03,0.17
315,0.24,0.12,0.18,0.14,0.03,0.16
316,0.24,0.12,0.18,0.15,0.02,0.16
