,volt,h2,lpg,ch4,co,alcohol,smoke,propane
198,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
199,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
200,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
201,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
202,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
203,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
204,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
205,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
206,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
207,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
208,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
209,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
210,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
211,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
212,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
213,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
214,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
215,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
216,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
217,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
218,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
219,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
220,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
221,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
222,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
223,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
224,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
225,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
226,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
227,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
228,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
229,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
230,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
231,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
232,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
235,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
236,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
237,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
238,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
239,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
240,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
241,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
