,volt,co,h2,lpg,ch4,alcohol
196,0.17,0.833,0.627,0.102,0.253,1.513
197,0.18,0.909,0.683,0.143,0.413,2.322
198,0.18,0.909,0.683,0.143,0.413,2.322
199,0.18,0.909,0.683,0.143,0.413,2.322
200,0.18,0.909,0.683,0.143,0.413,2.322
201,0.17,0.833,0.627,0.102,0.253,1.513
202,0.17,0.833,0.627,0.102,0.253,1.513
203,0.17,0.833,0.627,0.102,0.253,1.513
204,0.17,0.833,0.627,0.102,0.253,1.513
205,0.18,0.909,0.683,0.143,0.413,2.322
206,0.17,0.833,0.627,0.102,0.253,1.513
207,0.17,0.833,0.627,0.102,0.253,1.513
208,0.17,0.833,0.627,0.102,0.253,1.513
209,0.17,0.833,0.627,0.102,0.253,1.513
210,0.18,0.909,0.683,0.143,0.413,2.322
211,0.17,0.833,0.627,0.102,0.253,1.513
212,0.17,0.833,0.627,0.102,0.253,1.513
213,0.18,0.909,0.683,0.143,0.413,2.322
214,0.17,0.833,0.627,0.102,0.253,1.513
215,0.17,0.833,0.627,0.102,0.253,1.513
216,0.18,0.909,0.683,0.143,0.413,2.322
217,0.18,0.909,0.683,0.143,0.413,2.322
218,0.17,0.833,0.627,0.102,0.253,1.513
219,0.17,0.833,0.627,0.102,0.253,1.513
220,0.18,0.909,0.683,0.143,0.413,2.322
221,0.18,0.909,0.683,0.143,0.413,2.322
222,0.17,0.833,0.627,0.102,0.253,1.513
223,0.18,0.909,0.683,0.143,0.413,2.322
224,0.17,0.833,0.627,0.102,0.253,1.513
225,0.17,0.833,0.627,0.102,0.253,1.513
226,0.18,0.909,0.683,0.143,0.413,2.322
227,0.18,0.909,0.683,0.143,0.413,2.322
228,0.17,0.833,0.627,0.102,0.253,1.513
229,0.17,0.833,0.627,0.102,0.253,1.513
230,0.18,0.909,0.683,0.143,0.413,2.322
231,0.18,0.909,0.683,0.143,0.413,2.322
232,0.18,0.909,0.683,0.143,0.413,2.322
233,0.18,0.909,0.683,0.143,0.413,2.322
234,0.17,0.833,0.627,0.102,0.253,1.513
235,0.17,0.833,0.627,0.102,0.253,1.513
236,0.18,0.909,0.683,0.143,0.413,2.322
237,0.17,0.833,0.627,0.102,0.253,1.513
238,0.17,0.833,0.627,0.102,0.253,1.513
239,0.18,0.909,0.683,0.143,0.413,2.322
240,0.17,0.833,0.627,0.102,0.253,1.513
241,0.17,0.833,0.627,0.102,0.253,1.513
242,0.17,0.833,0.627,0.102,0.253,1.513
243,0.17,0.833,0.627,0.102,0.253,1.513
244,0.18,0.909,0.683,0.143,0.413,2.322
245,0.17,0.833,0.627,0.102,0.253,1.513
246,0.18,0.909,0.683,0.143,0.413,2.322
247,0.17,0.833,0.627,0.102,0.253,1.513
248,0.18,0.909,0.683,0.143,0.413,2.322
249,0.18,0.909,0.683,0.143,0.413,2.322
250,0.18,0.909,0.683,0.143,0.413,2.322
251,0.17,0.833,0.627,0.102,0.253,1.513
252,0.18,0.909,0.683,0.143,0.413,2.322
253,0.17,0.833,0.627,0.102,0.253,1.513
254,0.18,0.909,0.683,0.143,0.413,2.322
255,0.17,0.833,0.627,0.102,0.253,1.513
256,0.17,0.833,0.627,0.102,0.253,1.513
257,0.17,0.833,0.627,0.102,0.253,1.513
258,0.18,0.909,0.683,0.143,0.413,2.322
259,0.17,0.833,0.627,0.102,0.253,1.513
260,0.18,0.909,0.683,0.143,0.413,2.322
261,0.17,0.833,0.627,0.102,0.253,1.513
262,0.18,0.909,0.683,0.143,0.413,2.322
263,0.18,0.909,0.683,0.143,0.413,2.322
264,0.17,0.833,0.627,0.102,0.253,1.513
265,0.18,0.909,0.683,0.143,0.413,2.322
266,0.18,0.909,0.683,0.143,0.413,2.322
267,0.18,0.909,0.683,0.143,0.413,2.322
268,0.18,0.909,0.683,0.143,0.413,2.322
269,0.17,0.833,0.627,0.102,0.253,1.513
270,0.18,0.909,0.683,0.143,0.413,2.322
271,0.17,0.833,0.627,0.102,0.253,1.513
272,0.18,0.909,0.683,0.143,0.413,2.322
273,0.18,0.909,0.683,0.143,0.413,2.322
274,0.17,0.833,0.627,0.102,0.253,1.513
275,0.17,0.833,0.627,0.102,0.253,1.513
276,0.17,0.833,0.627,0.102,0.253,1.513
277,0.18,0.909,0.683,0.143,0.413,2.322
278,0.18,0.909,0.683,0.143,0.413,2.322
279,0.17,0.833,0.627,0.102,0.253,1.513
280,0.18,0.909,0.683,0.143,0.413,2.322
281,0.18,0.909,0.683,0.143,0.413,2.322
282,0.17,0.833,0.627,0.102,0.253,1.513
283,0.17,0.833,0.627,0.102,0.253,1.513
284,0.18,0.909,0.683,0.143,0.413,2.322
