id,volt,h2,lpg,ch4,co,alcohol,smoke,propane
186,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
187,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
188,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
189,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
190,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
191,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
192,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
193,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
194,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
195,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
196,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
197,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
198,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
199,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
200,1.9,187.792,106.146,574.388,3116.202,438.438,655.081,122.885
201,1.89,184.399,104.197,561.31,3044.192,428.346,641.155,120.726
202,1.88,181.06,102.279,548.504,2972.815,418.465,627.498,118.601
203,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
204,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
205,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
206,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
207,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
208,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
209,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
210,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
211,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
212,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
213,1.85,171.362,96.712,511.661,2763.594,390.054,588.084,112.422
214,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
215,1.85,171.362,96.712,511.661,2763.594,390.054,588.084,112.422
216,1.84,168.232,94.917,499.874,2696.889,380.98,575.449,110.426
217,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
218,1.84,168.232,94.917,499.874,2696.889,380.98,575.449,110.426
219,1.85,171.362,96.712,511.661,2763.594,390.054,588.084,112.422
220,1.84,168.232,94.917,499.874,2696.889,380.98,575.449,110.426
221,1.83,165.153,93.151,487.037,2631.647,372.096,563.058,108.46
222,1.83,165.153,93.151,487.037,2631.647,372.096,563.058,108.46
223,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
224,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
225,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
226,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
227,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
228,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
229,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
230,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
231,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
232,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
233,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
234,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
235,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
236,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
237,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
238,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
239,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
240,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
241,1.75,142.235,80.025,394.627,2158.829,307.462,471.434,93.801
242,1.75,142.235,80.025,394.627,2158.829,307.462,471.434,93.801
243,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
244,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
245,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
246,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
247,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
248,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
249,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
250,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
251,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
252,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
253,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
254,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
255,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
256,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
257,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
258,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
259,1.71,131.843,74.086,354.639,1944.453,279.069,430.07,87.133
260,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
261,1.71,131.843,74.086,354.639,1944.453,279.069,430.07,87.133
262,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
263,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
264,1.71,131.843,74.086,354.639,1944.453,279.069,430.07,87.133
265,1.71,131.843,74.086,354.639,1944.453,279.069,430.07,87.133
266,1.7,129.349,72.661,345.229,1887.876,272.345,420.242,85.53
267,1.7,129.349,72.661,345.229,1887.876,272.345,420.242,85.53
268,1.69,126.896,71.26,336.041,1832.791,265.764,410.612,83.953
269,1.7,129.349,72.661,345.229,1887.876,272.345,420.242,85.53
270,1.7,129.349,72.661,345.229,1887.876,272.345,420.242,85.53
271,1.7,129.349,72.661,345.229,1887.876,272.345,420.242,85.53
272,1.6,106.524,59.647,262.641,1408.377,212.537,332.23,70.822
273,1.53,92.634,51.748,215.728,1160.054,177.802,280.535,61.828
274,1.46,80.263,44.731,176.292,950.248,148.057,235.848,53.787
275,1.44,76.986,42.875,166.24,896.305,140.381,224.242,51.651
276,1.46,80.263,44.731,176.292,950.248,148.057,235.848,53.787
277,1.42,73.817,41.082,156.685,845.014,133.043,213.118,49.583
278,1.38,67.791,37.675,138.978,749.498,119.333,192.245,45.644
279,1.35,63.533,35.27,126.844,683.796,109.845,177.727,42.855
280,1.33,60.814,33.736,119.264,642.766,103.875,168.559,41.071
281,1.32,59.488,32.989,115.62,623.046,100.993,164.123,40.201
282,1.33,60.814,33.736,119.264,642.766,103.875,168.559,41.071
283,1.32,59.488,32.989,115.62,623.046,100.993,164.123,40.201
284,1.3,56.905,31.533,108.613,585.133,95.427,155.537,38.503
285,1.27,53.195,29.444,98.774,531.914,87.553,143.347,36.061
286,1.25,50.827,28.112,92.639,498.602,82.606,135.659,34.499
287,1.21,46.334,25.588,81.317,431.259,73.397,121.281,31.531
288,1.17,42.149,23.24,71.168,371.782,65.039,108.151,28.759
289,1.15,40.167,22.129,66.5,344.738,61.158,102.025,27.444
290,1.13,38.255,21.059,62.086,319.366,57.465,96.177,26.173
291,1.12,37.325,20.539,59.971,307.279,55.687,93.354,25.555
292,1.1,35.516,19.527,55.918,284.248,52.262,87.904,24.35
293,1.09,34.636,19.035,53.976,273.284,50.614,85.274,23.763
294,1.07,32.924,18.079,50.258,252.409,47.442,80.2,22.621
295,1.06,32.092,17.615,48.478,242.479,45.916,77.753,22.065
296,1.05,31.275,17.159,46.749,232.875,44.428,75.364,21.519
297,1.04,30.473,16.712,45.071,223.588,42.98,73.032,20.983
298,1.03,29.687,16.274,43.442,214.609,41.568,70.757,20.456
299,1.01,28.159,15.422,40.326,197.542,38.855,66.372,19.432
300,1.0,27.416,15.009,38.836,189.437,37.551,64.259,18.933
301,0.99,26.688,14.604,37.391,181.608,36.282,62.199,18.444
302,0.98,25.974,14.206,35.99,174.046,35.046,60.19,17.964
303,0.96,24.586,13.435,33.312,159.695,32.673,56.32,17.031
304,0.95,23.913,13.061,32.034,152.89,31.535,54.458,16.577
305,0.94,23.253,12.695,30.796,146.325,30.427,52.644,16.132
306,0.93,22.605,12.336,29.595,139.99,29.35,50.875,15.696
307,0.92,21.971,11.984,28.433,133.881,28.302,49.152,15.267
308,0.91,21.349,11.639,27.306,127.99,27.283,47.474,14.847
309,0.91,21.349,11.639,27.306,127.99,27.283,47.474,14.847
310,0.9,20.74,11.302,26.215,122.311,26.293,45.839,14.435
311,0.9,20.74,11.302,26.215,122.311,26.293,45.839,14.435
312,0.88,19.558,10.647,24.136,111.564,24.395,42.697,13.635
313,0.88,19.558,10.647,24.136,111.564,24.395,42.697,13.635
314,0.87,18.986,10.33,23.147,106.484,23.486,41.188,13.247
315,0.86,18.425,10.02,22.189,101.593,22.603,39.719,12.866
316,0.87,18.986,10.33,23.147,106.484,23.486,41.188,13.247
317,0.86,18.425,10.02,22.189,101.593,22.603,39.719,12.866
318,0.86,18.425,10.02,22.189,101.593,22.603,39.719,12.866
319,0.85,17.875,9.716,21.263,96.884,21.746,38.29,12.493
320,0.86,18.425,10.02,22.189,101.593,22.603,39.719,12.866
321,0.84,17.337,9.419,20.368,92.352,20.914,36.899,12.128
322,0.84,17.337,9.419,20.368,92.352,20.914,36.899,12.128
323,0.84,17.337,9.419,20.368,92.352,20.914,36.899,12.128
324,0.83,16.811,9.128,19.502,87.992,20.106,35.547,11.769
325,0.81,15.79,8.566,17.856,79.766,18.561,32.953,11.074
326,0.81,15.79,8.566,17.856,79.766,18.561,32.953,11.074
327,0.8,15.297,8.293,17.075,75.89,17.823,31.709,10.738
328,0.81,15.79,8.566,17.856,79.766,18.561,32.953,11.074
329,0.8,15.297,8.293,17.075,75.89,17.823,31.709,10.738
330,0.8,15.297,8.293,17.075,75.89,17.823,31.709,10.738
331,0.8,15.297,8.293,17.075,75.89,17.823,31.709,10.738
332,0.79,14.813,8.027,16.32,72.166,17.107,30.501,10.408
333,0.79,14.813,8.027,16.32,72.166,17.107,30.501,10.408
334,0.79,14.813,8.027,16.32,72.166,17.107,30.501,10.408
335,0.79,14.813,8.027,16.32,72.166,17.107,30.501,10.408
336,0.78,14.341,7.767,15.591,68.589,16.413,29.327,10.085
337,0.78,14.341,7.767,15.591,68.589,16.413,29.327,10.085
338,0.77,13.879,7.512,14.888,65.155,15.74,28.187,9.769
339,0.77,13.879,7.512,14.888,65.155,15.74,28.187,9.769
340,0.78,14.341,7.767,15.591,68.589,16.413,29.327,10.085
341,0.77,13.879,7.512,14.888,65.155,15.74,28.187,9.769
342,0.76,13.426,7.264,14.21,61.859,15.088,27.079,9.459
343,0.76,13.426,7.264,14.21,61.859,15.088,27.079,9.459
344,0.76,13.426,7.264,14.21,61.859,15.088,27.079,9.459
345,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
346,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
347,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
348,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
349,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
350,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
351,0.75,12.984,7.021,13.556,58.696,14.457,26.004,9.157
352,0.74,12.552,6.783,12.925,55.663,13.845,24.96,8.86
353,0.74,12.552,6.783,12.925,55.663,13.845,24.96,8.86
354,0.73,12.13,6.551,12.316,52.755,13.253,23.947,8.57
355,0.73,12.13,6.551,12.316,52.755,13.253,23.947,8.57
356,0.73,12.13,6.551,12.316,52.755,13.253,23.947,8.57
357,0.72,11.717,6.325,11.73,49.968,12.68,22.964,8.287
358,0.73,12.13,6.551,12.316,52.755,13.253,23.947,8.57
359,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
360,0.72,11.717,6.325,11.73,49.968,12.68,22.964,8.287
361,0.72,11.717,6.325,11.73,49.968,12.68,22.964,8.287
362,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
363,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
364,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
365,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
366,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
367,0.71,11.314,6.103,11.166,47.299,12.125,22.011,8.009
