,volt,lpg,co,ch4
322,0.19,0.054,0.013,0.072
323,0.19,0.054,0.013,0.072
324,0.19,0.054,0.013,0.072
325,0.18,0.04,0.009,0.047
326,0.19,0.054,0.013,0.072
327,0.19,0.054,0.013,0.072
328,0.19,0.054,0.013,0.072
329,0.19,0.054,0.013,0.072
330,0.19,0.054,0.013,0.072
331,0.19,0.054,0.013,0.072
332,0.19,0.054,0.013,0.072
333,0.19,0.054,0.013,0.072
334,0.19,0.054,0.013,0.072
335,0.19,0.054,0.013,0.072
336,0.2,0.072,0.017,0.107
337,0.19,0.054,0.013,0.072
338,0.2,0.072,0.017,0.107
339,0.19,0.054,0.013,0.072
340,0.19,0.054,0.013,0.072
341,0.19,0.054,0.013,0.072
342,0.19,0.054,0.013,0.072
343,0.18,0.04,0.009,0.047
344,0.19,0.054,0.013,0.072
345,0.19,0.054,0.013,0.072
346,0.19,0.054,0.013,0.072
347,0.19,0.054,0.013,0.072
348,0.19,0.054,0.013,0.072
349,0.19,0.054,0.013,0.072
350,0.18,0.04,0.009,0.047
351,0.18,0.04,0.009,0.047
352,0.18,0.04,0.009,0.047
353,0.2,0.072,0.017,0.107
354,0.2,0.072,0.017,0.107
355,0.2,0.072,0.017,0.107
356,0.19,0.054,0.013,0.072
357,0.19,0.054,0.013,0.072
358,0.2,0.072,0.017,0.107
359,0.2,0.072,0.017,0.107
360,0.2,0.072,0.017,0.107
361,0.19,0.054,0.013,0.072
362,0.19,0.054,0.013,0.072
363,0.19,0.054,0.013,0.072
364,0.19,0.054,0.013,0.072
365,0.2,0.072,0.017,0.107
366,0.2,0.072,0.017,0.107
367,0.2,0.072,0.017,0.107
368,0.21,0.094,0.022,0.157
369,0.21,0.094,0.022,0.157
370,0.21,0.094,0.022,0.157
371,0.21,0.094,0.022,0.157
372,0.21,0.094,0.022,0.157
373,0.21,0.094,0.022,0.157
374,0.21,0.094,0.022,0.157
375,0.2,0.072,0.017,0.107
376,0.21,0.094,0.022,0.157
377,0.21,0.094,0.022,0.157
378,0.21,0.094,0.022,0.157
379,0.21,0.094,0.022,0.157
380,0.21,0.094,0.022,0.157
381,0.22,0.122,0.029,0.226
382,0.22,0.122,0.029,0.226
