,volt,lpg,co,ch4
319,0.03,0.051,0.012,0.068
320,0.03,0.051,0.012,0.068
321,0.03,0.051,0.012,0.068
322,0.03,0.051,0.012,0.068
323,0.02,0.006,0.001,0.003
324,0.03,0.051,0.012,0.068
325,0.03,0.051,0.012,0.068
326,0.03,0.051,0.012,0.068
327,0.04,0.243,0.058,0.589
328,0.03,0.051,0.012,0.068
329,0.03,0.051,0.012,0.068
330,0.03,0.051,0.012,0.068
331,0.03,0.051,0.012,0.068
332,0.03,0.051,0.012,0.068
333,0.03,0.051,0.012,0.068
334,0.04,0.243,0.058,0.589
335,0.03,0.051,0.012,0.068
336,0.03,0.051,0.012,0.068
337,0.03,0.051,0.012,0.068
338,0.03,0.051,0.012,0.068
339,0.03,0.051,0.012,0.068
340,0.04,0.243,0.058,0.589
341,0.03,0.051,0.012,0.068
342,0.03,0.051,0.012,0.068
343,0.03,0.051,0.012,0.068
344,0.03,0.051,0.012,0.068
345,0.04,0.243,0.058,0.589
346,0.03,0.051,0.012,0.068
347,0.03,0.051,0.012,0.068
348,0.03,0.051,0.012,0.068
349,0.04,0.243,0.058,0.589
350,0.03,0.051,0.012,0.068
351,0.03,0.051,0.012,0.068
352,0.04,0.243,0.058,0.589
353,0.03,0.051,0.012,0.068
354,0.03,0.051,0.012,0.068
355,0.03,0.051,0.012,0.068
356,0.04,0.243,0.058,0.589
357,0.03,0.051,0.012,0.068
358,0.04,0.243,0.058,0.589
359,0.04,0.243,0.058,0.589
360,0.04,0.243,0.058,0.589
361,0.04,0.243,0.058,0.589
362,0.03,0.051,0.012,0.068
363,0.04,0.243,0.058,0.589
364,0.04,0.243,0.058,0.589
365,0.03,0.051,0.012,0.068
366,0.03,0.051,0.012,0.068
367,0.03,0.051,0.012,0.068
368,0.03,0.051,0.012,0.068
369,0.04,0.243,0.058,0.589
370,0.04,0.243,0.058,0.589
371,0.04,0.243,0.058,0.589
372,0.04,0.243,0.058,0.589
373,0.04,0.243,0.058,0.589
374,0.04,0.243,0.058,0.589
375,0.04,0.243,0.058,0.589
376,0.04,0.243,0.058,0.589
377,0.04,0.243,0.058,0.589
378,0.03,0.051,0.012,0.068
379,0.03,0.051,0.012,0.068
380,0.04,0.243,0.058,0.589
381,0.04,0.243,0.058,0.589
382,0.04,0.243,0.058,0.589
383,0.04,0.243,0.058,0.589
384,0.03,0.051,0.012,0.068
385,0.04,0.243,0.058,0.589
386,0.04,0.243,0.058,0.589
387,0.04,0.243,0.058,0.589
388,0.04,0.243,0.058,0.589
389,0.04,0.243,0.058,0.589
390,0.04,0.243,0.058,0.589
391,0.04,0.243,0.058,0.589
392,0.03,0.051,0.012,0.068
393,0.03,0.051,0.012,0.068
394,0.04,0.243,0.058,0.589
395,0.03,0.051,0.012,0.068
396,0.04,0.243,0.058,0.589
397,0.03,0.051,0.012,0.068
398,0.03,0.051,0.012,0.068
399,0.04,0.243,0.058,0.589
400,0.04,0.243,0.058,0.589
401,0.03,0.051,0.012,0.068
402,0.03,0.051,0.012,0.068
403,0.04,0.243,0.058,0.589
404,0.03,0.051,0.012,0.068
405,0.03,0.051,0.012,0.068
406,0.03,0.051,0.012,0.068
407,0.04,0.243,0.058,0.589
408,0.04,0.243,0.058,0.589
409,0.03,0.051,0.012,0.068
410,0.05,0.811,0.197,3.17
411,0.03,0.051,0.012,0.068
412,0.04,0.243,0.058,0.589
413,0.03,0.051,0.012,0.068
414,0.04,0.243,0.058,0.589
415,0.04,0.243,0.058,0.589
416,0.03,0.051,0.012,0.068
417,0.04,0.243,0.058,0.589
418,0.04,0.243,0.058,0.589
419,0.04,0.243,0.058,0.589
420,0.04,0.243,0.058,0.589
421,0.04,0.243,0.058,0.589
422,0.04,0.243,0.058,0.589
423,0.04,0.243,0.058,0.589
424,0.04,0.243,0.058,0.589
425,0.03,0.051,0.012,0.068
426,0.04,0.243,0.058,0.589
427,0.04,0.243,0.058,0.589
428,0.03,0.051,0.012,0.068
429,0.04,0.243,0.058,0.589
430,0.03,0.051,0.012,0.068
431,0.04,0.243,0.058,0.589
432,0.03,0.051,0.012,0.068
433,0.04,0.243,0.058,0.589
434,0.04,0.243,0.058,0.589
435,0.04,0.243,0.058,0.589
436,0.03,0.051,0.012,0.068
437,0.04,0.243,0.058,0.589
438,0.04,0.243,0.058,0.589
439,0.04,0.243,0.058,0.589
440,0.04,0.243,0.058,0.589
441,0.05,0.811,0.197,3.17
442,0.03,0.051,0.012,0.068
443,0.04,0.243,0.058,0.589
444,0.04,0.243,0.058,0.589
445,0.04,0.243,0.058,0.589
446,0.03,0.051,0.012,0.068
447,0.04,0.243,0.058,0.589
448,0.04,0.243,0.058,0.589
449,0.04,0.243,0.058,0.589
450,0.03,0.051,0.012,0.068
451,0.04,0.243,0.058,0.589
452,0.04,0.243,0.058,0.589
453,0.04,0.243,0.058,0.589
454,0.04,0.243,0.058,0.589
455,0.03,0.051,0.012,0.068
456,0.04,0.243,0.058,0.589
457,0.04,0.243,0.058,0.589
458,0.04,0.243,0.058,0.589
459,0.03,0.051,0.012,0.068
460,0.04,0.243,0.058,0.589
461,0.04,0.243,0.058,0.589
462,0.04,0.243,0.058,0.589
463,0.04,0.243,0.058,0.589
464,0.03,0.051,0.012,0.068
465,0.04,0.243,0.058,0.589
466,0.04,0.243,0.058,0.589
467,0.03,0.051,0.012,0.068
468,0.04,0.243,0.058,0.589
469,0.03,0.051,0.012,0.068
470,0.03,0.051,0.012,0.068
471,0.05,0.811,0.197,3.17
472,0.04,0.243,0.058,0.589
473,0.03,0.051,0.012,0.068
474,0.04,0.243,0.058,0.589
475,0.04,0.243,0.058,0.589
476,0.03,0.051,0.012,0.068
477,0.03,0.051,0.012,0.068
478,0.04,0.243,0.058,0.589
479,0.04,0.243,0.058,0.589
480,0.04,0.243,0.058,0.589
481,0.04,0.243,0.058,0.589
482,0.02,0.006,0.001,0.003
483,0.03,0.051,0.012,0.068
484,0.03,0.051,0.012,0.068
485,0.03,0.051,0.012,0.068
486,0.04,0.243,0.058,0.589
487,0.04,0.243,0.058,0.589
488,0.03,0.051,0.012,0.068
489,0.03,0.051,0.012,0.068
490,0.03,0.051,0.012,0.068
491,0.03,0.051,0.012,0.068
492,0.03,0.051,0.012,0.068
493,0.03,0.051,0.012,0.068
494,0.02,0.006,0.001,0.003
495,0.03,0.051,0.012,0.068
496,0.03,0.051,0.012,0.068
497,0.03,0.051,0.012,0.068
498,0.03,0.051,0.012,0.068
499,0.03,0.051,0.012,0.068
500,0.03,0.051,0.012,0.068
501,0.03,0.051,0.012,0.068
502,0.02,0.006,0.001,0.003
503,0.03,0.051,0.012,0.068
504,0.03,0.051,0.012,0.068
505,0.02,0.006,0.001,0.003
506,0.03,0.051,0.012,0.068
507,0.03,0.051,0.012,0.068
508,0.03,0.051,0.012,0.068
509,0.03,0.051,0.012,0.068
510,0.04,0.243,0.058,0.589
511,0.03,0.051,0.012,0.068
512,0.02,0.006,0.001,0.003
513,0.03,0.051,0.012,0.068
514,0.03,0.051,0.012,0.068
515,0.03,0.051,0.012,0.068
516,0.03,0.051,0.012,0.068
517,0.03,0.051,0.012,0.068
518,0.02,0.006,0.001,0.003
519,0.03,0.051,0.012,0.068
520,0.03,0.051,0.012,0.068
521,0.03,0.051,0.012,0.068
522,0.03,0.051,0.012,0.068
523,0.02,0.006,0.001,0.003
